country;hdi_2015;hdi_2016;hdi_2017;hdi_2018;hdi_2019;hdi_2020;hdi_2021;hdi_2022;hdi_2023
Afghanistan;0.496;0.495;0.496;0.498;0.507;0.501;0.486;0.495;0.496
Albania;0.797;0.797;0.798;0.801;0.805;0.794;0.794;0.806;0.81
Algeria;0.737;0.743;0.746;0.749;0.753;0.742;0.755;0.761;0.763
Andorra;0.869;0.872;0.873;0.875;0.876;0.851;0.871;0.893;0.913
Angola;0.603;0.609;0.61;0.611;0.611;0.61;0.609;0.615;0.616
Antigua and Barbuda;0.839;0.842;0.845;0.85;0.851;0.84;0.843;0.848;0.851
Argentina;0.859;0.857;0.861;0.861;0.861;0.851;0.847;0.858;0.865
Armenia;0.777;0.783;0.785;0.789;0.796;0.761;0.786;0.801;0.811
Australia;0.938;0.939;0.94;0.945;0.947;0.95;0.954;0.952;0.958
Austria;0.919;0.921;0.922;0.925;0.928;0.925;0.93;0.927;0.93
Azerbaijan;0.771;0.772;0.774;0.775;0.78;0.757;0.765;0.784;0.789
Bahamas;0.807;0.808;0.81;0.812;0.8;0.797;0.794;0.818;0.82
Bahrain;0.868;0.871;0.874;0.886;0.894;0.885;0.885;0.902;0.899
Bangladesh;0.621;0.632;0.633;0.646;0.656;0.663;0.663;0.68;0.685
Barbados;0.8;0.803;0.804;0.806;0.808;0.803;0.803;0.807;0.811
Belarus;0.825;0.825;0.828;0.827;0.826;0.815;0.817;0.824;0.824
Belgium;0.933;0.936;0.94;0.942;0.945;0.939;0.948;0.945;0.951
Belize;0.721;0.727;0.722;0.723;0.725;0.713;0.713;0.717;0.721
Benin;0.511;0.51;0.507;0.507;0.507;0.504;0.506;0.512;0.515
Bhutan;0.637;0.647;0.656;0.667;0.68;0.688;0.691;0.695;0.698
Bolivia (Plurinational State of);0.704;0.714;0.715;0.722;0.728;0.697;0.693;0.727;0.733
Bosnia and Herzegovina;0.769;0.776;0.78;0.785;0.788;0.783;0.783;0.799;0.804
Botswana;0.69;0.696;0.704;0.71;0.718;0.718;0.7;0.729;0.731
Brazil;0.764;0.765;0.77;0.774;0.776;0.77;0.768;0.78;0.786
Brunei Darussalam;0.839;0.838;0.837;0.837;0.835;0.836;0.835;0.825;0.837
Bulgaria;0.824;0.827;0.829;0.832;0.835;0.826;0.817;0.835;0.845
Burkina Faso;0.419;0.427;0.438;0.449;0.453;0.453;0.454;0.457;0.459
Burundi;0.432;0.436;0.434;0.434;0.435;0.435;0.435;0.437;0.439
Cabo Verde;0.658;0.661;0.663;0.663;0.667;0.647;0.651;0.664;0.668
Cambodia;0.562;0.57;0.578;0.586;0.593;0.595;0.594;0.602;0.606
Cameroon;0.575;0.579;0.581;0.582;0.582;0.579;0.574;0.581;0.588
Canada;0.932;0.933;0.935;0.935;0.937;0.931;0.937;0.935;0.939
Central African Republic;0.377;0.376;0.356;0.391;0.279;0.386;0.339;;0.414
Chad;0.396;0.396;0.397;0.402;0.406;0.408;0.408;0.414;0.416
Chile;0.855;0.859;0.862;0.866;0.867;0.856;0.865;0.869;0.878
China;0.75;0.758;0.765;0.774;0.781;0.786;0.794;0.796;0.797
Colombia;0.767;0.772;0.774;0.775;0.777;0.764;0.762;0.782;0.788
Comoros;0.565;0.571;0.577;0.584;0.589;0.592;0.594;0.602;0.603
Congo;0.643;0.64;0.635;0.64;0.634;0.643;0.643;0.644;0.649
Congo (Democratic Republic of the);0.477;0.487;0.491;0.497;0.501;0.506;0.508;0.514;0.522
Costa Rica;0.803;0.805;0.809;0.813;0.821;0.819;0.817;0.823;0.833
Croatia;0.852;0.856;0.862;0.867;0.872;0.867;0.876;0.886;0.889
Cuba;0.769;0.767;0.767;0.769;0.769;0.762;0.745;0.764;0.762
Cyprus;0.882;0.888;0.897;0.902;0.907;0.905;0.907;0.908;0.913
Czechia;0.9;0.902;0.904;0.901;0.903;0.898;0.901;0.911;0.915
C?te d'Ivoire;0.519;0.53;0.539;0.545;0.552;0.553;0.557;0.565;0.582
Denmark;0.943;0.951;0.951;0.95;0.953;0.954;0.958;0.959;0.962
Djibouti;0.469;0.477;0.484;0.492;0.497;0.499;0.501;0.51;0.513
Dominica;0.741;0.751;0.735;0.755;0.758;0.753;0.749;0.759;0.761
Dominican Republic;0.747;0.766;0.77;0.773;0.771;0.767;0.762;0.778;0.776
Ecuador;0.764;0.761;0.764;0.767;0.765;0.74;0.753;0.773;0.777
Egypt;0.706;0.713;0.72;0.728;0.736;0.736;0.738;0.751;0.754
El Salvador;0.667;0.666;0.665;0.67;0.67;0.66;0.663;0.674;0.678
Equatorial Guinea;0.656;0.659;0.661;0.663;0.667;0.668;0.671;0.677;0.674
Eritrea;0.48;0.485;0.48;0.49;0.495;0.495;0.496;0.499;0.503
Estonia;0.888;0.89;0.894;0.897;0.901;0.901;0.899;0.902;0.905
Eswatini (Kingdom of);0.607;0.619;0.631;0.643;0.653;0.657;0.658;0.695;0.695
Ethiopia;0.456;0.463;0.47;0.476;0.482;0.486;0.487;0.494;0.497
Fiji;0.715;0.719;0.725;0.728;0.727;0.718;0.705;0.726;0.731
Finland;0.938;0.94;0.942;0.945;0.947;0.947;0.949;0.946;0.948
France;0.901;0.905;0.908;0.911;0.914;0.909;0.915;0.916;0.92
Gabon;0.72;0.724;0.726;0.727;0.73;0.732;0.72;0.73;0.733
Gambia;0.482;0.487;0.493;0.5;0.508;0.512;0.513;0.519;0.524
Georgia;0.807;0.809;0.816;0.824;0.83;0.822;0.819;0.838;0.844
Germany;0.948;0.949;0.951;0.952;0.957;0.955;0.958;0.955;0.959
Ghana;0.588;0.59;0.594;0.6;0.609;0.614;0.618;0.625;0.628
Greece;0.888;0.884;0.887;0.893;0.896;0.896;0.897;0.897;0.908
Grenada;0.782;0.784;0.784;0.788;0.789;0.782;0.782;0.789;0.791
Guatemala;0.638;0.642;0.647;0.649;0.653;0.645;0.639;0.655;0.662
Guinea;0.465;0.482;0.482;0.479;0.486;0.488;0.49;0.498;0.5
Guinea-Bissau;0.481;0.486;0.491;0.493;0.501;0.498;0.502;0.511;0.514
Guyana;0.683;0.69;0.696;0.702;0.709;0.722;0.713;0.763;0.776
Haiti;0.552;0.555;0.559;0.561;0.56;0.555;0.548;0.552;0.554
Honduras;0.61;0.616;0.618;0.619;0.632;0.625;0.628;0.643;0.645
Hong Kong, China (SAR);0.937;0.94;0.946;0.952;0.952;0.95;0.961;0.95;0.955
Hungary;0.847;0.851;0.853;0.857;0.861;0.857;0.852;0.867;0.87
Iceland;0.956;0.959;0.962;0.966;0.969;0.965;0.967;0.964;0.972
India;0.633;0.644;0.649;0.648;0.651;0.652;0.647;0.676;0.685
Indonesia;0.701;0.705;0.712;0.715;0.714;0.71;0.707;0.726;0.728
Iran (Islamic Republic of);0.788;0.791;0.793;0.79;0.787;0.775;0.777;0.793;0.799
Iraq;0.675;0.676;0.681;0.689;0.693;0.68;0.687;0.695;0.695
Ireland;0.931;0.936;0.941;0.944;0.947;0.948;0.946;0.947;0.949
Israel;0.902;0.905;0.908;0.911;0.913;0.912;0.918;0.921;0.919
Italy;0.889;0.894;0.897;0.902;0.906;0.899;0.908;0.905;0.915
Jamaica;0.713;0.714;0.715;0.715;0.716;0.711;0.703;0.718;0.72
Japan;0.917;0.918;0.92;0.921;0.922;0.922;0.922;0.921;0.925
Jordan;0.743;0.745;0.747;0.747;0.75;0.743;0.736;0.751;0.754
Kazakhstan;0.819;0.82;0.824;0.828;0.834;0.826;0.816;0.831;0.837
Kenya;0.583;0.594;0.599;0.605;0.611;0.6;0.608;0.626;0.628
Kiribati;0.623;0.627;0.63;0.633;0.635;0.632;0.631;0.642;0.644
Korea (Democratic People's Rep. of);;;;;;;;;
Korea (Republic of);0.914;0.918;0.922;0.924;0.927;0.928;0.933;0.928;0.937
Kuwait;0.832;0.836;0.838;0.84;0.843;0.837;0.839;0.845;0.852
Kyrgyzstan;0.695;0.7;0.704;0.708;0.708;0.7;0.704;0.717;0.72
Lao People's Democratic Republic;0.604;0.609;0.612;0.613;0.615;0.616;0.613;0.614;0.617
Latvia;0.859;0.864;0.87;0.875;0.88;0.879;0.871;0.881;0.889
Lebanon;0.763;0.767;0.772;0.774;0.771;0.75;0.733;0.755;0.752
Lesotho;0.517;0.526;0.531;0.538;0.541;0.537;0.532;0.547;0.55
Liberia;0.48;0.485;0.491;0.495;0.497;0.498;0.503;0.508;0.51
Libya;0.728;0.725;0.74;0.743;0.737;0.688;0.729;0.741;0.721
Liechtenstein;0.925;0.926;0.929;0.928;0.935;0.929;0.933;0.936;0.938
Lithuania;0.869;0.875;0.885;0.889;0.894;0.888;0.887;0.888;0.895
Luxembourg;0.913;0.916;0.913;0.915;0.916;0.916;0.918;0.922;0.922
Madagascar;0.501;0.501;0.505;0.501;0.495;0.483;0.481;0.483;0.487
Malawi;0.504;0.506;0.508;0.51;0.513;0.512;0.509;0.513;0.517
Malaysia;0.8;0.805;0.807;0.809;0.812;0.81;0.802;0.81;0.819
Maldives;0.725;0.732;0.739;0.744;0.749;0.73;0.745;0.764;0.766
Mali;0.413;0.411;0.416;0.421;0.425;0.414;0.414;0.417;0.419
Malta;0.892;0.891;0.901;0.908;0.91;0.903;0.914;0.917;0.924
Marshall Islands;0.691;0.696;0.702;0.71;0.722;0.722;0.723;0.732;0.733
Mauritania;0.551;0.548;0.551;0.561;0.566;0.554;0.553;0.562;0.563
Mauritius;0.792;0.795;0.799;0.801;0.803;0.795;0.789;0.794;0.806
