country_name,year,life_ladder,log_gdp_per_capita,healthy_life_expectancy_at_birth
Albania,2015,4.607,9.382,69.0
Albania,2016,4.511,9.417,69.025
Albania,2017,4.64,9.455,69.05
Albania,2018,5.004,9.497,69.075
Albania,2019,4.995,9.522,69.1
Albania,2020,5.365,9.494,69.125
Albania,2021,5.255,9.588,69.15
Albania,2022,5.212,9.649,69.175
Albania,2023,5.445,9.689,69.2
Algeria,2016,5.341,9.383,66.1
Algeria,2017,5.249,9.377,66.2
Algeria,2018,5.043,9.37,66.3
Algeria,2019,4.745,9.361,66.4
Algeria,2020,5.438,9.291,66.5
Algeria,2021,5.217,9.308,66.6
Algeria,2022,5.538,9.323,66.7
Argentina,2015,6.697,10.083,66.9
Argentina,2016,6.427,10.051,66.95
Argentina,2017,6.039,10.069,67.0
Argentina,2018,5.793,10.032,67.05
Argentina,2019,6.086,10.002,67.1
Argentina,2020,5.901,9.888,67.15
Argentina,2021,5.908,9.977,67.2
Argentina,2022,6.261,10.019,67.25
Argentina,2023,6.393,9.994,67.3
Armenia,2015,4.348,9.351,66.0
Armenia,2016,4.325,9.357,66.275
Armenia,2017,4.288,9.434,66.55
Armenia,2018,5.062,9.49,66.825
Armenia,2019,5.488,9.569,67.1
Armenia,2021,5.301,9.561,67.65
Armenia,2022,5.382,9.683,67.925
Armenia,2023,5.679,9.73,68.2
Australia,2015,7.309,10.77,70.6
Australia,2016,7.25,10.781,70.675
Australia,2017,7.257,10.787,70.75
Australia,2018,7.177,10.801,70.825
Australia,2019,7.234,10.807,70.9
Australia,2020,7.137,10.794,70.975
Australia,2021,7.112,10.815,71.05
Australia,2022,7.035,10.84,71.125
Australia,2023,7.025,10.846,71.2
Austria,2015,7.076,10.876,70.4
Austria,2016,7.048,10.885,70.525
Austria,2017,7.294,10.9,70.65
Austria,2018,7.396,10.919,70.775
Austria,2019,7.195,10.93,70.9
Austria,2020,7.213,10.859,71.025
Austria,2021,7.08,10.899,71.15
Austria,2022,6.999,10.938,71.275
Austria,2023,6.636,10.93,71.4
Azerbaijan,2015,5.147,9.606,63.1
Azerbaijan,2016,5.304,9.563,63.225
Azerbaijan,2017,5.152,9.555,63.35
Azerbaijan,2018,5.168,9.562,63.475
Azerbaijan,2019,5.173,9.578,63.6
Azerbaijan,2022,4.576,9.619,63.975
Azerbaijan,2023,5.214,9.637,64.1
Bangladesh,2015,4.633,8.375,63.8
Bangladesh,2016,4.556,8.431,63.925
Bangladesh,2017,4.31,8.483,64.05
Bangladesh,2018,4.499,8.542,64.175
Bangladesh,2019,5.114,8.607,64.3
Bangladesh,2020,5.28,8.629,64.425
Bangladesh,2021,4.123,8.685,64.55
Bangladesh,2022,3.408,8.742,64.675
Bangladesh,2023,4.114,8.783,64.8
Belgium,2015,6.904,10.809,70.0
Belgium,2016,6.949,10.816,70.15
