country_name,year,life_ladder,social_support,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Albania,2015,4.607,0.639,0.704,-0.085,0.885
Albania,2016,4.511,0.638,0.73,-0.021,0.901
Albania,2017,4.64,0.638,0.75,-0.033,0.876
Albania,2018,5.004,0.684,0.824,0.005,0.899
Albania,2019,4.995,0.686,0.777,-0.103,0.914
Albania,2020,5.365,0.71,0.754,0.002,0.891
Albania,2021,5.255,0.702,0.827,0.039,0.896
Albania,2022,5.212,0.724,0.802,-0.07,0.846
Albania,2023,5.445,0.691,0.872,0.068,0.855
Algeria,2017,5.249,0.807,0.437,-0.174,0.7
Algeria,2018,5.043,0.799,0.583,-0.153,0.759
Algeria,2019,4.745,0.803,0.385,-0.002,0.741
Algeria,2020,5.438,0.868,0.574,-0.124,0.724
Algeria,2021,5.217,0.841,0.558,-0.116,0.712
Algeria,2022,5.538,0.783,0.44,-0.045,0.611
Argentina,2015,6.697,0.926,0.881,-0.18,0.851
Argentina,2016,6.427,0.883,0.848,-0.198,0.851
Argentina,2017,6.039,0.907,0.832,-0.192,0.841
Argentina,2018,5.793,0.9,0.846,-0.216,0.855
Argentina,2019,6.086,0.896,0.817,-0.217,0.83
Argentina,2020,5.901,0.897,0.823,-0.131,0.816
Argentina,2021,5.908,0.882,0.819,-0.014,0.816
Argentina,2022,6.261,0.893,0.825,-0.13,0.81
Argentina,2023,6.393,0.892,0.832,-0.129,0.846
Armenia,2015,4.348,0.723,0.551,-0.209,0.901
Armenia,2016,4.325,0.709,0.611,-0.178,0.921
Armenia,2017,4.288,0.698,0.614,-0.155,0.865
Armenia,2018,5.062,0.814,0.808,-0.171,0.677
Armenia,2019,5.488,0.782,0.844,-0.181,0.583
Armenia,2021,5.301,0.762,0.795,-0.159,0.705
Armenia,2022,5.382,0.811,0.79,-0.158,0.705
Armenia,2023,5.679,0.819,0.819,-0.179,0.681
Australia,2015,7.309,0.952,0.922,0.327,0.357
Australia,2016,7.25,0.942,0.922,0.233,0.399
Australia,2017,7.257,0.95,0.911,0.312,0.411
Australia,2018,7.177,0.94,0.916,0.141,0.405
Australia,2019,7.234,0.943,0.918,0.115,0.43
Australia,2020,7.137,0.937,0.905,0.202,0.491
Australia,2021,7.112,0.92,0.912,0.234,0.454
Australia,2022,7.035,0.942,0.854,0.153,0.545
Australia,2023,7.025,0.896,0.876,0.187,0.482
Austria,2015,7.076,0.928,0.9,0.093,0.557
Austria,2016,7.048,0.926,0.889,0.074,0.524
Austria,2017,7.294,0.906,0.89,0.128,0.518
Austria,2018,7.396,0.912,0.904,0.048,0.523
Austria,2019,7.195,0.964,0.903,0.054,0.457
Austria,2020,7.213,0.925,0.912,0.004,0.464
Austria,2021,7.08,0.863,0.795,0.158,0.501
Austria,2022,6.999,0.876,0.856,0.137,0.524
Austria,2023,6.636,0.874,0.874,0.209,0.529
Azerbaijan,2015,5.147,0.786,0.764,-0.203,0.616
Azerbaijan,2016,5.304,0.777,0.713,-0.21,0.607
Azerbaijan,2017,5.152,0.787,0.731,-0.231,0.653
Azerbaijan,2018,5.168,0.781,0.772,-0.237,0.561
Azerbaijan,2019,5.173,0.887,0.854,-0.22,0.457
Azerbaijan,2022,4.576,0.665,0.8,0.075,0.696
Azerbaijan,2023,5.214,0.713,0.829,-0.16,0.627
Bangladesh,2015,4.633,0.601,0.815,-0.085,0.721
Bangladesh,2016,4.556,0.649,0.875,-0.105,0.688
Bangladesh,2017,4.31,0.713,0.896,-0.004,0.635
Bangladesh,2018,4.499,0.706,0.901,-0.059,0.701
Bangladesh,2019,5.114,0.673,0.902,-0.067,0.656
Bangladesh,2020,5.28,0.739,0.777,-0.025,0.742
Bangladesh,2021,4.123,0.485,0.893,0.089,0.746
Bangladesh,2022,3.408,0.404,0.865,-0.058,0.617
Bangladesh,2023,4.114,0.45,0.919,0.019,0.756
Belgium,2015,6.904,0.885,0.869,0.056,0.469
Belgium,2016,6.949,0.929,0.866,-0.062,0.497
Belgium,2017,6.928,0.922,0.857,0.049,0.543
Belgium,2018,6.892,0.93,0.808,-0.13,0.63
Belgium,2019,6.772,0.884,0.776,-0.178,0.672
Belgium,2020,6.839,0.904,0.767,-0.172,0.634
Belgium,2021,6.882,0.915,0.823,0.077,0.523
Belgium,2022,6.857,0.923,0.89,0.095,0.483
Belgium,2023,6.944,0.896,0.87,0.065,0.522
Benin,2015,3.625,0.434,0.733,-0.029,0.85
Benin,2016,4.007,0.493,0.78,-0.068,0.838
Benin,2017,4.853,0.436,0.727,-0.068,0.767
Benin,2018,5.82,0.504,0.713,0.0,0.747
Benin,2019,4.976,0.442,0.77,-0.018,0.698
Benin,2020,4.408,0.507,0.783,-0.086,0.532
Benin,2021,4.493,0.436,0.724,-0.016,0.613
Benin,2022,4.217,0.366,0.714,-0.033,0.58
Benin,2023,4.42,0.398,0.786,-0.073,0.575
Bolivia,2015,5.834,0.829,0.884,-0.034,0.862
Bolivia,2016,5.77,0.796,0.882,-0.051,0.853
Bolivia,2017,5.651,0.779,0.884,-0.124,0.819
Bolivia,2018,5.916,0.827,0.863,-0.097,0.786
Bolivia,2019,5.674,0.784,0.881,-0.09,0.857
Bolivia,2020,5.559,0.805,0.877,-0.056,0.868
Bolivia,2021,5.569,0.798,0.862,-0.058,0.812
Bolivia,2022,5.929,0.824,0.865,-0.083,0.84
Bolivia,2023,5.86,0.786,0.832,-0.059,0.877
Bosnia and Herzegovina,2015,5.117,0.656,0.631,-0.058,0.96
Bosnia and Herzegovina,2016,5.181,0.808,0.633,0.13,0.957
Bosnia and Herzegovina,2017,5.09,0.775,0.564,0.087,0.923
Bosnia and Herzegovina,2018,5.887,0.836,0.659,0.118,0.913
Bosnia and Herzegovina,2019,6.016,0.873,0.722,0.074,0.963
Bosnia and Herzegovina,2020,5.516,0.899,0.74,0.132,0.916
Bosnia and Herzegovina,2021,5.749,0.86,0.759,0.274,0.921
Bosnia and Herzegovina,2022,5.872,0.856,0.743,0.191,0.933
Bosnia and Herzegovina,2023,6.009,0.879,0.847,0.241,0.948
Botswana,2015,3.762,0.816,0.857,-0.108,0.86
Botswana,2016,3.499,0.768,0.852,-0.246,0.729
Botswana,2017,3.505,0.768,0.817,-0.242,0.731
Botswana,2018,3.461,0.795,0.818,-0.248,0.807
Botswana,2019,3.471,0.774,0.833,-0.233,0.792
Botswana,2022,3.435,0.75,0.739,-0.218,0.831
Botswana,2023,3.332,0.701,0.741,-0.264,0.814
Brazil,2015,6.547,0.907,0.799,-0.021,0.771
Brazil,2016,6.375,0.912,0.807,-0.106,0.781
Brazil,2017,6.333,0.905,0.765,-0.181,0.794
Brazil,2018,6.191,0.882,0.751,-0.123,0.763
Brazil,2019,6.451,0.899,0.83,-0.068,0.762
Brazil,2020,6.11,0.831,0.786,-0.061,0.729
Brazil,2021,6.01,0.814,0.792,0.086,0.739
Brazil,2022,6.257,0.866,0.83,-0.064,0.742
Brazil,2023,6.553,0.856,0.87,-0.036,0.733
Bulgaria,2015,4.865,0.908,0.637,-0.207,0.941
Bulgaria,2016,4.838,0.926,0.7,-0.177,0.936
Bulgaria,2017,5.097,0.942,0.689,-0.16,0.911
Bulgaria,2018,5.099,0.924,0.724,-0.182,0.952
Bulgaria,2019,5.108,0.948,0.822,-0.115,0.943
Bulgaria,2020,5.598,0.916,0.818,-0.012,0.901
Bulgaria,2021,5.422,0.884,0.841,-0.018,0.891
Bulgaria,2022,5.378,0.953,0.741,-0.152,0.942
Bulgaria,2023,5.59,0.935,0.754,-0.131,0.948
Burkina Faso,2015,4.419,0.705,0.659,0.001,0.693
Burkina Faso,2016,4.206,0.764,0.645,-0.003,0.721
Burkina Faso,2017,4.647,0.785,0.614,-0.066,0.727
Burkina Faso,2018,4.927,0.665,0.721,-0.016,0.757
Burkina Faso,2019,4.741,0.683,0.678,-0.007,0.729
Burkina Faso,2020,4.64,0.668,0.75,0.12,0.809
Burkina Faso,2021,4.636,0.658,0.644,0.064,0.736
Burkina Faso,2023,4.462,0.58,0.715,0.105,0.65
Cambodia,2015,4.162,0.729,0.956,0.204,0.825
Cambodia,2016,4.461,0.746,0.958,0.07,0.84
Cambodia,2017,4.586,0.765,0.964,0.082,0.821
Cambodia,2018,5.122,0.795,0.958,0.029,0.8245
Cambodia,2019,4.998,0.759,0.957,0.007,0.828
Cambodia,2020,4.377,0.724,0.963,0.047,0.863
Cambodia,2021,4.555,0.713,0.965,0.012,0.844
Cambodia,2022,4.25,0.784,0.946,0.151,0.86
Cambodia,2023,4.221,0.738,0.961,0.07,0.799
Cameroon,2015,5.038,0.646,0.791,0.041,0.868
Cameroon,2016,4.816,0.659,0.713,-0.012,0.879
Cameroon,2017,5.074,0.695,0.767,-0.036,0.844
Cameroon,2018,5.251,0.677,0.816,0.028,0.884
Cameroon,2019,4.937,0.711,0.712,-0.015,0.817
Cameroon,2020,5.241,0.72,0.675,0.042,0.837
Cameroon,2021,4.963,0.695,0.715,-0.029,0.849
Cameroon,2022,4.712,0.629,0.675,0.022,0.849
Cameroon,2023,4.946,0.716,0.739,-0.028,0.855
Canada,2015,7.413,0.939,0.931,0.247,0.427
Canada,2016,7.245,0.924,0.912,0.205,0.385
Canada,2017,7.415,0.934,0.945,0.157,0.362
